CPP,Indicator,Type,Year,value,FG,LineType,Improvement_Rate,High is Positive?
West Lothian,Healthy Birthweight,Raw data,2006/07,88.6888627671683,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2007/08,90.13046332647069,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2007/08,89.51010122017335,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2007/08,89.6087564565213,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2007/08,88.98972765633435,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2007/08,88.68576017344843,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2007/08,88.91079891792918,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2007/08,90.18092425918279,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2007/08,88.61484972201038,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2007/08,89.33875043755454,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2007/08,89.45605642710531,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2007/08,88.42948204149855,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2007/08,89.8473793184696,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2007/08,87.39362985478034,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2007/08,88.24468780514424,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2007/08,88.34818064154115,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2007/08,89.09675883293038,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2007/08,90.547519094339,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2007/08,88.78486691036356,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2007/08,89.77348551540378,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2007/08,89.89950888346245,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2007/08,88.08303828795631,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2007/08,88.1782742393017,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2007/08,89.51838310567727,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2007/08,89.42791055905123,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2007/08,87.90116520639793,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2007/08,89.09501114487576,NA,Scotland Raw data,1.262535350201599,Yes
Scottish Borders,Healthy Birthweight,Raw data,2007/08,88.73127145768537,2,Scottish Borders Raw data,2.190455058124585,Yes
Shetland Islands,Healthy Birthweight,Raw data,2007/08,90.77561269875112,1,Shetland Islands Raw data,-1.9379658264353727,Yes
South Ayrshire,Healthy Birthweight,Raw data,2007/08,89.07330317137156,3,South Ayrshire Raw data,0.9934859238068805,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2007/08,88.88181174473544,3,South Lanarkshire Raw data,1.9020248551363528,Yes
Stirling,Healthy Birthweight,Raw data,2007/08,88.61864633833432,2,Stirling Raw data,0.5537181682479408,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2007/08,88.74132822154814,4,West Dunbartonshire Raw data,1.9615637291600763,Yes
West Lothian,Healthy Birthweight,Raw data,2007/08,89.24458882383925,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2008/09,90.0810964353805,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2008/09,89.3232036334379,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2008/09,90.36065816320689,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2008/09,89.04680351698164,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2008/09,88.41656667716329,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2008/09,89.2843217457703,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2008/09,90.25426024676399,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2008/09,88.87272268041251,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2008/09,88.84616966409705,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2008/09,89.93984217799414,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.43966512707846,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2008/09,89.34840557321434,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2008/09,86.71626871049779,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2008/09,88.80571171990806,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2008/09,88.33454371867636,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2008/09,89.38650604160972,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2008/09,90.1386686854886,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2008/09,89.75731172883847,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2008/09,88.97451207521783,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2008/09,90.99407671703159,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2008/09,88.20592449625178,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2008/09,88.57535179632718,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2008/09,89.6071955967244,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2008/09,89.26439836065532,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.30717460376975,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2008/09,89.16041057474314,NA,Scotland Raw data,1.262535350201599,Yes
Scottish Borders,Healthy Birthweight,Raw data,2008/09,88.87655917067683,2,Scottish Borders Raw data,2.190455058124585,Yes
Shetland Islands,Healthy Birthweight,Raw data,2008/09,90.2984903429595,1,Shetland Islands Raw data,-1.9379658264353727,Yes
South Ayrshire,Healthy Birthweight,Raw data,2008/09,89.24964377324409,3,South Ayrshire Raw data,0.9934859238068805,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2008/09,89.11433047980738,3,South Lanarkshire Raw data,1.9020248551363528,Yes
Stirling,Healthy Birthweight,Raw data,2008/09,88.46964638747677,2,Stirling Raw data,0.5537181682479408,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2008/09,89.06124197712546,4,West Dunbartonshire Raw data,1.9615637291600763,Yes
West Lothian,Healthy Birthweight,Raw data,2008/09,88.57009648085875,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2009/10,90.01192602044999,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2009/10,89.49593392304723,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2009/10,90.11293620788855,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2009/10,89.86548708000713,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2009/10,88.24723649245611,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2009/10,89.38649404865487,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2009/10,90.05440421470956,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2009/10,89.0299064165265,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2009/10,89.0020138878021,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2009/10,89.37354962017197,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2009/10,88.5491857982323,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2009/10,89.43562936667485,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2009/10,86.27222723562915,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2009/10,89.0450657185708,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2009/10,88.71063558008723,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2009/10,89.28043047320325,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2009/10,89.88499923961042,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2009/10,89.75438600075563,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2009/10,88.67989272371672,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2009/10,90.91190818586547,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2009/10,88.82219758326333,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01558514613468,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2009/10,89.25936950976786,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2009/10,88.98923353818499,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2009/10,89.04229359629763,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2009/10,89.29640292082894,NA,Scotland Raw data,1.262535350201599,Yes
Scottish Borders,Healthy Birthweight,Raw data,2009/10,89.0966319034028,2,Scottish Borders Raw data,2.190455058124585,Yes
Shetland Islands,Healthy Birthweight,Raw data,2009/10,90.09942438513868,1,Shetland Islands Raw data,-1.9379658264353727,Yes
South Ayrshire,Healthy Birthweight,Raw data,2009/10,89.82329625308815,3,South Ayrshire Raw data,0.9934859238068805,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01681896112136,3,South Lanarkshire Raw data,1.9020248551363528,Yes
Stirling,Healthy Birthweight,Raw data,2009/10,88.87979559052451,2,Stirling Raw data,0.5537181682479408,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2009/10,88.97097741338096,4,West Dunbartonshire Raw data,1.9615637291600763,Yes
West Lothian,Healthy Birthweight,Raw data,2009/10,89.4584807039552,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2010/11,90.08167844324917,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2010/11,90.03955071472039,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2010/11,90.17052360849492,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2010/11,89.78026952334561,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2010/11,88.95702203490755,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2010/11,88.8707316508877,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2010/11,89.99585624075372,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2010/11,89.45563489609201,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2010/11,88.57818808314964,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2010/11,89.68666213256184,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.0370821392092,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2010/11,89.38967318768944,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2010/11,87.13648478437868,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2010/11,89.16177469468222,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2010/11,88.6014658955247,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2010/11,89.5155104596072,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2010/11,89.90391582164683,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2010/11,90.7911688091504,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2010/11,88.62552216746411,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2010/11,90.53807804588007,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2010/11,88.75410483224374,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2010/11,88.92910352644056,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2010/11,89.36669468638779,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2010/11,89.43453635855225,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.91463264438751,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2010/11,89.42084177016964,NA,Scotland Raw data,1.262535350201599,Yes
Scottish Borders,Healthy Birthweight,Raw data,2010/11,89.61609644398057,2,Scottish Borders Raw data,2.190455058124585,Yes
Shetland Islands,Healthy Birthweight,Raw data,2010/11,90.33285108915362,1,Shetland Islands Raw data,-1.9379658264353727,Yes
South Ayrshire,Healthy Birthweight,Raw data,2010/11,89.8554243117502,3,South Ayrshire Raw data,0.9934859238068805,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2010/11,89.08292933534416,3,South Lanarkshire Raw data,1.9020248551363528,Yes
Stirling,Healthy Birthweight,Raw data,2010/11,89.13909794945151,2,Stirling Raw data,0.5537181682479408,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2010/11,89.30493291037995,4,West Dunbartonshire Raw data,1.9615637291600763,Yes
West Lothian,Healthy Birthweight,Raw data,2010/11,89.21489346812696,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2011/12,90.1344099699998,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2011/12,90.48207742139805,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2011/12,89.80288471056963,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2011/12,89.88423201229598,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2011/12,89.09648534163064,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2011/12,89.08334496856854,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2011/12,89.75001046859218,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2011/12,89.6442216864752,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2011/12,88.68451933941903,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2011/12,89.97310823649582,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.29070348824632,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2011/12,89.90280187836133,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2011/12,87.1611697638557,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2011/12,88.85464244394292,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2011/12,89.0012105247517,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2011/12,89.43644239619249,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2011/12,89.66670509811394,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2011/12,90.79717833917238,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2011/12,88.92268930192937,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2011/12,89.65533413418409,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2011/12,88.60994293576562,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2011/12,88.63920467507565,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2011/12,87.82823314792624,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2011/12,88.8837190553985,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.80640448722426,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2011/12,89.47421227686355,NA,Scotland Raw data,1.262535350201599,Yes
Scottish Borders,Healthy Birthweight,Raw data,2011/12,89.7403683749752,2,Scottish Borders Raw data,2.190455058124585,Yes
Shetland Islands,Healthy Birthweight,Raw data,2011/12,90.47524703058103,1,Shetland Islands Raw data,-1.9379658264353727,Yes
South Ayrshire,Healthy Birthweight,Raw data,2011/12,89.64852793914065,3,South Ayrshire Raw data,0.9934859238068805,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2011/12,89.10867510343071,3,South Lanarkshire Raw data,1.9020248551363528,Yes
Stirling,Healthy Birthweight,Raw data,2011/12,88.94952144408552,2,Stirling Raw data,0.5537181682479408,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2011/12,89.41671484302816,4,West Dunbartonshire Raw data,1.9615637291600763,Yes
West Lothian,Healthy Birthweight,Raw data,2011/12,90.11184691190338,3,West Lothian Raw data,1.294766400929026,Yes
Aberdeen City,Healthy Birthweight,Raw data,2012/13,90.1581560824261,1,Aberdeen City Raw data,0.5613157161464377,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2012/13,90.38409019293594,1,Aberdeenshire Raw data,1.3923831199506909,Yes
Angus,Healthy Birthweight,Raw data,2012/13,89.25149254482909,2,Angus Raw data,-0.020632150156096873,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2012/13,89.92912390063866,2,Argyll and Bute Raw data,3.948829844543922,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2012/13,88.39251889806076,3,Clackmannanshire Raw data,0.6370054673489056,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2012/13,89.01812745802347,3,Dumfries and Galloway Raw data,1.226430717594007,Yes
Dundee City,Healthy Birthweight,Raw data,2012/13,90.2171433054743,4,Dundee City Raw data,0.1525108070852932,Yes
East Ayrshire,Healthy Birthweight,Raw data,2012/13,89.25540196183222,4,East Ayrshire Raw data,1.7404927825273475,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2012/13,89.04156097759721,1,East Dunbartonshire Raw data,1.094187076270181,Yes
East Lothian,Healthy Birthweight,Raw data,2012/13,90.06714869576318,2,East Lothian Raw data,0.09270144497472987,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.55326859657664,1,East Renfrewshire Raw data,1.8068289482784161,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2012/13,90.06927856848283,1,"Edinburgh, City of Raw data",1.1645047735018732,Yes
Eilean Siar,Healthy Birthweight,Raw data,2012/13,86.80533132793347,4,Eilean Siar Raw data,0.6053343963769553,Yes
Falkirk,Healthy Birthweight,Raw data,2012/13,89.27840107113764,3,Falkirk Raw data,2.370542465187886,Yes
Fife,Healthy Birthweight,Raw data,2012/13,88.75806202946687,3,Fife Raw data,1.0675054591520627,Yes
Glasgow City,Healthy Birthweight,Raw data,2012/13,89.40483688973201,4,Glasgow City Raw data,1.7985378620290815,Yes
Highland,Healthy Birthweight,Raw data,2012/13,89.65274546650504,2,Highland Raw data,-0.2118668578488414,Yes
Inverclyde,Healthy Birthweight,Raw data,2012/13,91.20878698301054,4,Inverclyde Raw data,2.531009988969868,Yes
Midlothian,Healthy Birthweight,Raw data,2012/13,89.30983857281251,2,Midlothian Raw data,0.2505097418993074,Yes
Moray,Healthy Birthweight,Raw data,2012/13,90.28497125058084,2,Moray Raw data,-0.16013623990124293,Yes
North Ayrshire,Healthy Birthweight,Raw data,2012/13,88.14019754642315,4,North Ayrshire Raw data,1.7071091771561298,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2012/13,88.74190320657344,4,North Lanarkshire Raw data,1.8270181563155852,Yes
Orkney Islands,Healthy Birthweight,Raw data,2012/13,87.58422250018889,1,Orkney Islands Raw data,2.2634391144995103,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2012/13,89.37987512879089,1,Perth and Kinross Raw data,-0.32476512126838886,Yes
Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.84674883028335,3,Renfrewshire Raw data,0.9648437564225176,Yes
Scotland,Healthy Birthweight,Raw data,2012/13,89.50601013543483,NA,Scotland Raw data,1.262535350201599,Yes
