CPP,Indicator,Type,Year,value,IndicatorFullName,FG,LineType,Improvement_Rate,High is Positive?
Dumfries and Galloway,Healthy Birthweight,Raw data,2008/09,89.2843217457703,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.5400955766528668,Yes
Dundee City,Healthy Birthweight,Raw data,2008/09,90.25426024676399,Healthy Birthweight,4,Dundee City Raw data,0.26532451355596454,Yes
East Ayrshire,Healthy Birthweight,Raw data,2008/09,88.87272268041251,Healthy Birthweight,4,East Ayrshire Raw data,2.5391859777838865,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2008/09,88.84616966409705,Healthy Birthweight,1,East Dunbartonshire Raw data,1.34275985573018,Yes
East Lothian,Healthy Birthweight,Raw data,2008/09,89.93984217799414,Healthy Birthweight,2,East Lothian Raw data,-0.4767752084222199,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.43966512707846,Healthy Birthweight,1,East Renfrewshire Raw data,1.4987503723522089,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2008/09,89.34840557321434,Healthy Birthweight,1,"Edinburgh, City of Raw data",0.9648458153496797,Yes
Eilean Siar,Healthy Birthweight,Raw data,2008/09,86.71626871049779,Healthy Birthweight,4,Eilean Siar Raw data,2.2917992751376293,Yes
Falkirk,Healthy Birthweight,Raw data,2008/09,88.80571171990806,Healthy Birthweight,3,Falkirk Raw data,2.826553161789036,Yes
Fife,Healthy Birthweight,Raw data,2008/09,88.33454371867636,Healthy Birthweight,3,Fife Raw data,1.574482224088336,Yes
Glasgow City,Healthy Birthweight,Raw data,2008/09,89.38650604160972,Healthy Birthweight,4,Glasgow City Raw data,1.4315379231184533,Yes
Highland,Healthy Birthweight,Raw data,2008/09,90.1386686854886,Healthy Birthweight,2,Highland Raw data,-0.8206020665652125,Yes
Inverclyde,Healthy Birthweight,Raw data,2008/09,89.75731172883847,Healthy Birthweight,4,Inverclyde Raw data,3.27105964616754,Yes
Midlothian,Healthy Birthweight,Raw data,2008/09,88.97451207521783,Healthy Birthweight,2,Midlothian Raw data,-0.25423927471651675,Yes
Moray,Healthy Birthweight,Raw data,2008/09,90.99407671703159,Healthy Birthweight,2,Moray Raw data,8.088289249252867e-4,Yes
North Ayrshire,Healthy Birthweight,Raw data,2008/09,88.20592449625178,Healthy Birthweight,4,North Ayrshire Raw data,2.7776505594590883,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2008/09,88.57535179632718,Healthy Birthweight,4,North Lanarkshire Raw data,2.1868592063052583,Yes
Orkney Islands,Healthy Birthweight,Raw data,2008/09,89.6071955967244,Healthy Birthweight,1,Orkney Islands Raw data,-1.676829632207122,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2008/09,89.26439836065532,Healthy Birthweight,1,Perth and Kinross Raw data,0.3393346801752184,Yes
Renfrewshire,Healthy Birthweight,Raw data,2008/09,88.30717460376975,Healthy Birthweight,3,Renfrewshire Raw data,1.5759188944186375,Yes
Scotland,Healthy Birthweight,Raw data,2008/09,89.16041057474314,Healthy Birthweight,NA,Scotland Raw data,1.2091600159468419,Yes
Scottish Borders,Healthy Birthweight,Raw data,2008/09,88.87655917067683,Healthy Birthweight,2,Scottish Borders Raw data,2.154739874751299,Yes
Shetland Islands,Healthy Birthweight,Raw data,2008/09,90.2984903429595,Healthy Birthweight,1,Shetland Islands Raw data,-4.0583112374408365,Yes
South Ayrshire,Healthy Birthweight,Raw data,2008/09,89.24964377324409,Healthy Birthweight,3,South Ayrshire Raw data,0.8416610532105073,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2008/09,89.11433047980738,Healthy Birthweight,3,South Lanarkshire Raw data,1.075414253575957,Yes
Stirling,Healthy Birthweight,Raw data,2008/09,88.46964638747677,Healthy Birthweight,2,Stirling Raw data,2.6031214137206993,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2008/09,89.06124197712546,Healthy Birthweight,4,West Dunbartonshire Raw data,2.2575260428990607,Yes
West Lothian,Healthy Birthweight,Raw data,2008/09,88.57009648085875,Healthy Birthweight,3,West Lothian Raw data,-0.586108490052728,Yes
Aberdeen City,Healthy Birthweight,Raw data,2009/10,90.01192602044999,Healthy Birthweight,1,Aberdeen City Raw data,0.6623241656980694,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2009/10,89.49593392304723,Healthy Birthweight,1,Aberdeenshire Raw data,1.1622008197604838,Yes
Angus,Healthy Birthweight,Raw data,2009/10,90.11293620788855,Healthy Birthweight,2,Angus Raw data,-0.05405428000294643,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2009/10,89.86548708000713,Healthy Birthweight,2,Argyll and Bute Raw data,1.787942919958474,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2009/10,88.24723649245611,Healthy Birthweight,3,Clackmannanshire Raw data,2.01582916691474,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2009/10,89.38649404865487,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.5400955766528668,Yes
Dundee City,Healthy Birthweight,Raw data,2009/10,90.05440421470956,Healthy Birthweight,4,Dundee City Raw data,0.26532451355596454,Yes
East Ayrshire,Healthy Birthweight,Raw data,2009/10,89.0299064165265,Healthy Birthweight,4,East Ayrshire Raw data,2.5391859777838865,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2009/10,89.0020138878021,Healthy Birthweight,1,East Dunbartonshire Raw data,1.34275985573018,Yes
East Lothian,Healthy Birthweight,Raw data,2009/10,89.37354962017197,Healthy Birthweight,2,East Lothian Raw data,-0.4767752084222199,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2009/10,88.5491857982323,Healthy Birthweight,1,East Renfrewshire Raw data,1.4987503723522089,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2009/10,89.43562936667485,Healthy Birthweight,1,"Edinburgh, City of Raw data",0.9648458153496797,Yes
Eilean Siar,Healthy Birthweight,Raw data,2009/10,86.27222723562915,Healthy Birthweight,4,Eilean Siar Raw data,2.2917992751376293,Yes
Falkirk,Healthy Birthweight,Raw data,2009/10,89.0450657185708,Healthy Birthweight,3,Falkirk Raw data,2.826553161789036,Yes
Fife,Healthy Birthweight,Raw data,2009/10,88.71063558008723,Healthy Birthweight,3,Fife Raw data,1.574482224088336,Yes
Glasgow City,Healthy Birthweight,Raw data,2009/10,89.28043047320325,Healthy Birthweight,4,Glasgow City Raw data,1.4315379231184533,Yes
Highland,Healthy Birthweight,Raw data,2009/10,89.88499923961042,Healthy Birthweight,2,Highland Raw data,-0.8206020665652125,Yes
Inverclyde,Healthy Birthweight,Raw data,2009/10,89.75438600075563,Healthy Birthweight,4,Inverclyde Raw data,3.27105964616754,Yes
Midlothian,Healthy Birthweight,Raw data,2009/10,88.67989272371672,Healthy Birthweight,2,Midlothian Raw data,-0.25423927471651675,Yes
Moray,Healthy Birthweight,Raw data,2009/10,90.91190818586547,Healthy Birthweight,2,Moray Raw data,8.088289249252867e-4,Yes
North Ayrshire,Healthy Birthweight,Raw data,2009/10,88.82219758326333,Healthy Birthweight,4,North Ayrshire Raw data,2.7776505594590883,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01558514613468,Healthy Birthweight,4,North Lanarkshire Raw data,2.1868592063052583,Yes
Orkney Islands,Healthy Birthweight,Raw data,2009/10,89.25936950976786,Healthy Birthweight,1,Orkney Islands Raw data,-1.676829632207122,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2009/10,88.98923353818499,Healthy Birthweight,1,Perth and Kinross Raw data,0.3393346801752184,Yes
Renfrewshire,Healthy Birthweight,Raw data,2009/10,89.04229359629763,Healthy Birthweight,3,Renfrewshire Raw data,1.5759188944186375,Yes
Scotland,Healthy Birthweight,Raw data,2009/10,89.29640292082894,Healthy Birthweight,NA,Scotland Raw data,1.2091600159468419,Yes
Scottish Borders,Healthy Birthweight,Raw data,2009/10,89.0966319034028,Healthy Birthweight,2,Scottish Borders Raw data,2.154739874751299,Yes
Shetland Islands,Healthy Birthweight,Raw data,2009/10,90.09942438513868,Healthy Birthweight,1,Shetland Islands Raw data,-4.0583112374408365,Yes
South Ayrshire,Healthy Birthweight,Raw data,2009/10,89.82329625308815,Healthy Birthweight,3,South Ayrshire Raw data,0.8416610532105073,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2009/10,89.01681896112136,Healthy Birthweight,3,South Lanarkshire Raw data,1.075414253575957,Yes
Stirling,Healthy Birthweight,Raw data,2009/10,88.87979559052451,Healthy Birthweight,2,Stirling Raw data,2.6031214137206993,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2009/10,88.97097741338096,Healthy Birthweight,4,West Dunbartonshire Raw data,2.2575260428990607,Yes
West Lothian,Healthy Birthweight,Raw data,2009/10,89.4584807039552,Healthy Birthweight,3,West Lothian Raw data,-0.586108490052728,Yes
Aberdeen City,Healthy Birthweight,Raw data,2010/11,90.08167844324917,Healthy Birthweight,1,Aberdeen City Raw data,0.6623241656980694,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2010/11,90.03955071472039,Healthy Birthweight,1,Aberdeenshire Raw data,1.1622008197604838,Yes
Angus,Healthy Birthweight,Raw data,2010/11,90.17052360849492,Healthy Birthweight,2,Angus Raw data,-0.05405428000294643,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2010/11,89.78026952334561,Healthy Birthweight,2,Argyll and Bute Raw data,1.787942919958474,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2010/11,88.95702203490755,Healthy Birthweight,3,Clackmannanshire Raw data,2.01582916691474,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2010/11,88.8707316508877,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.5400955766528668,Yes
Dundee City,Healthy Birthweight,Raw data,2010/11,89.99585624075372,Healthy Birthweight,4,Dundee City Raw data,0.26532451355596454,Yes
East Ayrshire,Healthy Birthweight,Raw data,2010/11,89.45563489609201,Healthy Birthweight,4,East Ayrshire Raw data,2.5391859777838865,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2010/11,88.57818808314964,Healthy Birthweight,1,East Dunbartonshire Raw data,1.34275985573018,Yes
East Lothian,Healthy Birthweight,Raw data,2010/11,89.68666213256184,Healthy Birthweight,2,East Lothian Raw data,-0.4767752084222199,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.0370821392092,Healthy Birthweight,1,East Renfrewshire Raw data,1.4987503723522089,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2010/11,89.38967318768944,Healthy Birthweight,1,"Edinburgh, City of Raw data",0.9648458153496797,Yes
Eilean Siar,Healthy Birthweight,Raw data,2010/11,87.13648478437868,Healthy Birthweight,4,Eilean Siar Raw data,2.2917992751376293,Yes
Falkirk,Healthy Birthweight,Raw data,2010/11,89.16177469468222,Healthy Birthweight,3,Falkirk Raw data,2.826553161789036,Yes
Fife,Healthy Birthweight,Raw data,2010/11,88.6014658955247,Healthy Birthweight,3,Fife Raw data,1.574482224088336,Yes
Glasgow City,Healthy Birthweight,Raw data,2010/11,89.5155104596072,Healthy Birthweight,4,Glasgow City Raw data,1.4315379231184533,Yes
Highland,Healthy Birthweight,Raw data,2010/11,89.90391582164683,Healthy Birthweight,2,Highland Raw data,-0.8206020665652125,Yes
Inverclyde,Healthy Birthweight,Raw data,2010/11,90.7911688091504,Healthy Birthweight,4,Inverclyde Raw data,3.27105964616754,Yes
Midlothian,Healthy Birthweight,Raw data,2010/11,88.62552216746411,Healthy Birthweight,2,Midlothian Raw data,-0.25423927471651675,Yes
Moray,Healthy Birthweight,Raw data,2010/11,90.53807804588007,Healthy Birthweight,2,Moray Raw data,8.088289249252867e-4,Yes
North Ayrshire,Healthy Birthweight,Raw data,2010/11,88.75410483224374,Healthy Birthweight,4,North Ayrshire Raw data,2.7776505594590883,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2010/11,88.92910352644056,Healthy Birthweight,4,North Lanarkshire Raw data,2.1868592063052583,Yes
Orkney Islands,Healthy Birthweight,Raw data,2010/11,89.36669468638779,Healthy Birthweight,1,Orkney Islands Raw data,-1.676829632207122,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2010/11,89.43453635855225,Healthy Birthweight,1,Perth and Kinross Raw data,0.3393346801752184,Yes
Renfrewshire,Healthy Birthweight,Raw data,2010/11,89.91463264438751,Healthy Birthweight,3,Renfrewshire Raw data,1.5759188944186375,Yes
Scotland,Healthy Birthweight,Raw data,2010/11,89.42084177016964,Healthy Birthweight,NA,Scotland Raw data,1.2091600159468419,Yes
Scottish Borders,Healthy Birthweight,Raw data,2010/11,89.61609644398057,Healthy Birthweight,2,Scottish Borders Raw data,2.154739874751299,Yes
Shetland Islands,Healthy Birthweight,Raw data,2010/11,90.33285108915362,Healthy Birthweight,1,Shetland Islands Raw data,-4.0583112374408365,Yes
South Ayrshire,Healthy Birthweight,Raw data,2010/11,89.8554243117502,Healthy Birthweight,3,South Ayrshire Raw data,0.8416610532105073,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2010/11,89.08292933534416,Healthy Birthweight,3,South Lanarkshire Raw data,1.075414253575957,Yes
Stirling,Healthy Birthweight,Raw data,2010/11,89.13909794945151,Healthy Birthweight,2,Stirling Raw data,2.6031214137206993,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2010/11,89.30493291037995,Healthy Birthweight,4,West Dunbartonshire Raw data,2.2575260428990607,Yes
West Lothian,Healthy Birthweight,Raw data,2010/11,89.21489346812696,Healthy Birthweight,3,West Lothian Raw data,-0.586108490052728,Yes
Aberdeen City,Healthy Birthweight,Raw data,2011/12,90.1344099699998,Healthy Birthweight,1,Aberdeen City Raw data,0.6623241656980694,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2011/12,90.48207742139805,Healthy Birthweight,1,Aberdeenshire Raw data,1.1622008197604838,Yes
Angus,Healthy Birthweight,Raw data,2011/12,89.80288471056963,Healthy Birthweight,2,Angus Raw data,-0.05405428000294643,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2011/12,89.88423201229598,Healthy Birthweight,2,Argyll and Bute Raw data,1.787942919958474,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2011/12,89.09648534163064,Healthy Birthweight,3,Clackmannanshire Raw data,2.01582916691474,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2011/12,89.08334496856854,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.5400955766528668,Yes
Dundee City,Healthy Birthweight,Raw data,2011/12,89.75001046859218,Healthy Birthweight,4,Dundee City Raw data,0.26532451355596454,Yes
East Ayrshire,Healthy Birthweight,Raw data,2011/12,89.6442216864752,Healthy Birthweight,4,East Ayrshire Raw data,2.5391859777838865,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2011/12,88.68451933941903,Healthy Birthweight,1,East Dunbartonshire Raw data,1.34275985573018,Yes
East Lothian,Healthy Birthweight,Raw data,2011/12,89.97310823649582,Healthy Birthweight,2,East Lothian Raw data,-0.4767752084222199,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.29070348824632,Healthy Birthweight,1,East Renfrewshire Raw data,1.4987503723522089,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2011/12,89.90280187836133,Healthy Birthweight,1,"Edinburgh, City of Raw data",0.9648458153496797,Yes
Eilean Siar,Healthy Birthweight,Raw data,2011/12,87.1611697638557,Healthy Birthweight,4,Eilean Siar Raw data,2.2917992751376293,Yes
Falkirk,Healthy Birthweight,Raw data,2011/12,88.85464244394292,Healthy Birthweight,3,Falkirk Raw data,2.826553161789036,Yes
Fife,Healthy Birthweight,Raw data,2011/12,89.0012105247517,Healthy Birthweight,3,Fife Raw data,1.574482224088336,Yes
Glasgow City,Healthy Birthweight,Raw data,2011/12,89.43644239619249,Healthy Birthweight,4,Glasgow City Raw data,1.4315379231184533,Yes
Highland,Healthy Birthweight,Raw data,2011/12,89.66670509811394,Healthy Birthweight,2,Highland Raw data,-0.8206020665652125,Yes
Inverclyde,Healthy Birthweight,Raw data,2011/12,90.79717833917238,Healthy Birthweight,4,Inverclyde Raw data,3.27105964616754,Yes
Midlothian,Healthy Birthweight,Raw data,2011/12,88.92268930192937,Healthy Birthweight,2,Midlothian Raw data,-0.25423927471651675,Yes
Moray,Healthy Birthweight,Raw data,2011/12,89.65533413418409,Healthy Birthweight,2,Moray Raw data,8.088289249252867e-4,Yes
North Ayrshire,Healthy Birthweight,Raw data,2011/12,88.60994293576562,Healthy Birthweight,4,North Ayrshire Raw data,2.7776505594590883,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2011/12,88.63920467507565,Healthy Birthweight,4,North Lanarkshire Raw data,2.1868592063052583,Yes
Orkney Islands,Healthy Birthweight,Raw data,2011/12,87.82823314792624,Healthy Birthweight,1,Orkney Islands Raw data,-1.676829632207122,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2011/12,88.8837190553985,Healthy Birthweight,1,Perth and Kinross Raw data,0.3393346801752184,Yes
Renfrewshire,Healthy Birthweight,Raw data,2011/12,89.80640448722426,Healthy Birthweight,3,Renfrewshire Raw data,1.5759188944186375,Yes
Scotland,Healthy Birthweight,Raw data,2011/12,89.47421227686355,Healthy Birthweight,NA,Scotland Raw data,1.2091600159468419,Yes
Scottish Borders,Healthy Birthweight,Raw data,2011/12,89.7403683749752,Healthy Birthweight,2,Scottish Borders Raw data,2.154739874751299,Yes
Shetland Islands,Healthy Birthweight,Raw data,2011/12,90.47524703058103,Healthy Birthweight,1,Shetland Islands Raw data,-4.0583112374408365,Yes
South Ayrshire,Healthy Birthweight,Raw data,2011/12,89.64852793914065,Healthy Birthweight,3,South Ayrshire Raw data,0.8416610532105073,Yes
South Lanarkshire,Healthy Birthweight,Raw data,2011/12,89.10867510343071,Healthy Birthweight,3,South Lanarkshire Raw data,1.075414253575957,Yes
Stirling,Healthy Birthweight,Raw data,2011/12,88.94952144408552,Healthy Birthweight,2,Stirling Raw data,2.6031214137206993,Yes
West Dunbartonshire,Healthy Birthweight,Raw data,2011/12,89.41671484302816,Healthy Birthweight,4,West Dunbartonshire Raw data,2.2575260428990607,Yes
West Lothian,Healthy Birthweight,Raw data,2011/12,90.11184691190338,Healthy Birthweight,3,West Lothian Raw data,-0.586108490052728,Yes
Aberdeen City,Healthy Birthweight,Raw data,2012/13,90.1581560824261,Healthy Birthweight,1,Aberdeen City Raw data,0.6623241656980694,Yes
Aberdeenshire,Healthy Birthweight,Raw data,2012/13,90.38409019293594,Healthy Birthweight,1,Aberdeenshire Raw data,1.1622008197604838,Yes
Angus,Healthy Birthweight,Raw data,2012/13,89.25149254482909,Healthy Birthweight,2,Angus Raw data,-0.05405428000294643,Yes
Argyll and Bute,Healthy Birthweight,Raw data,2012/13,89.92912390063866,Healthy Birthweight,2,Argyll and Bute Raw data,1.787942919958474,Yes
Clackmannanshire,Healthy Birthweight,Raw data,2012/13,88.39251889806076,Healthy Birthweight,3,Clackmannanshire Raw data,2.01582916691474,Yes
Dumfries and Galloway,Healthy Birthweight,Raw data,2012/13,89.01812745802347,Healthy Birthweight,3,Dumfries and Galloway Raw data,1.5400955766528668,Yes
Dundee City,Healthy Birthweight,Raw data,2012/13,90.2171433054743,Healthy Birthweight,4,Dundee City Raw data,0.26532451355596454,Yes
East Ayrshire,Healthy Birthweight,Raw data,2012/13,89.25540196183222,Healthy Birthweight,4,East Ayrshire Raw data,2.5391859777838865,Yes
East Dunbartonshire,Healthy Birthweight,Raw data,2012/13,89.04156097759721,Healthy Birthweight,1,East Dunbartonshire Raw data,1.34275985573018,Yes
East Lothian,Healthy Birthweight,Raw data,2012/13,90.06714869576318,Healthy Birthweight,2,East Lothian Raw data,-0.4767752084222199,Yes
East Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.55326859657664,Healthy Birthweight,1,East Renfrewshire Raw data,1.4987503723522089,Yes
"Edinburgh, City of",Healthy Birthweight,Raw data,2012/13,90.06927856848283,Healthy Birthweight,1,"Edinburgh, City of Raw data",0.9648458153496797,Yes
Eilean Siar,Healthy Birthweight,Raw data,2012/13,86.80533132793347,Healthy Birthweight,4,Eilean Siar Raw data,2.2917992751376293,Yes
Falkirk,Healthy Birthweight,Raw data,2012/13,89.27840107113764,Healthy Birthweight,3,Falkirk Raw data,2.826553161789036,Yes
Fife,Healthy Birthweight,Raw data,2012/13,88.75806202946687,Healthy Birthweight,3,Fife Raw data,1.574482224088336,Yes
Glasgow City,Healthy Birthweight,Raw data,2012/13,89.40483688973201,Healthy Birthweight,4,Glasgow City Raw data,1.4315379231184533,Yes
Highland,Healthy Birthweight,Raw data,2012/13,89.65274546650504,Healthy Birthweight,2,Highland Raw data,-0.8206020665652125,Yes
Inverclyde,Healthy Birthweight,Raw data,2012/13,91.20878698301054,Healthy Birthweight,4,Inverclyde Raw data,3.27105964616754,Yes
Midlothian,Healthy Birthweight,Raw data,2012/13,89.30983857281251,Healthy Birthweight,2,Midlothian Raw data,-0.25423927471651675,Yes
Moray,Healthy Birthweight,Raw data,2012/13,90.28497125058084,Healthy Birthweight,2,Moray Raw data,8.088289249252867e-4,Yes
North Ayrshire,Healthy Birthweight,Raw data,2012/13,88.14019754642315,Healthy Birthweight,4,North Ayrshire Raw data,2.7776505594590883,Yes
North Lanarkshire,Healthy Birthweight,Raw data,2012/13,88.74190320657344,Healthy Birthweight,4,North Lanarkshire Raw data,2.1868592063052583,Yes
Orkney Islands,Healthy Birthweight,Raw data,2012/13,87.58422250018889,Healthy Birthweight,1,Orkney Islands Raw data,-1.676829632207122,Yes
Perth and Kinross,Healthy Birthweight,Raw data,2012/13,89.37987512879089,Healthy Birthweight,1,Perth and Kinross Raw data,0.3393346801752184,Yes
Renfrewshire,Healthy Birthweight,Raw data,2012/13,89.84674883028335,Healthy Birthweight,3,Renfrewshire Raw data,1.5759188944186375,Yes
Scotland,Healthy Birthweight,Raw data,2012/13,89.50601013543483,Healthy Birthweight,NA,Scotland Raw data,1.2091600159468419,Yes
Scottish Borders,Healthy Birthweight,Raw data,2012/13,89.7195050665379,Healthy Birthweight,2,Scottish Borders Raw data,2.154739874751299,Yes
Shetland Islands,Healthy Birthweight,Raw data,2012/13,89.52775008308407,Healthy Birthweight,1,Shetland Islands Raw data,-4.0583112374408365,Yes
